País,Mujeres,Hombres
Grecia,28.399999999999999,23
ESPAÑA,27.699999999999999,23
Francia,27.100000000000001,23.5
Luxemburgo,26.399999999999999,24
Bélgica,26.199999999999999,22.199999999999999
Italia,26.199999999999999,22.100000000000001
Croacia,25.699999999999999,18.600000000000001
Eslovenia,25.600000000000001,20.699999999999999
Chipre,25.300000000000001,17.800000000000001
Austria,25.199999999999999,21.199999999999999
Turquía,25.100000000000001,20.199999999999999
Polonia,25.100000000000001,18.699999999999999
Brasil,24.899999999999999,19.199999999999999
Chile,24.699999999999999,19
Costa Rica,24.699999999999999,18
Australia,24.5,21.300000000000001
Canadá,24.5,20.699999999999999
Malta,24.199999999999999,21.800000000000001
Colombia,24.100000000000001,17.199999999999999
Portugal,23.899999999999999,19
Suiza,23.800000000000001,20
Eslovaquia,23.800000000000001,18.899999999999999
Finlandia,23.699999999999999,20.699999999999999
Noruega,23.699999999999999,19.399999999999999
Países Bajos,23.5,20.199999999999999
Japón,23.5,17.800000000000001
Hungría,23.5,17.100000000000001
Corea del Sur,23.199999999999999,18.399999999999999
Alemania,23.100000000000001,20.100000000000001
Islandia,23,19
Rep. Checa,23,18.199999999999999
Reino Unido,22.699999999999999,20.199999999999999
Irlanda,22.5,20.5
Rusia,22.5,15.300000000000001
Lituania,22.399999999999999,16.100000000000001
Dinamarca,22.199999999999999,19.300000000000001
Suecia,22.100000000000001,19
Israel,22,19.800000000000001
China,21.899999999999999,14.800000000000001
Argentina,21.699999999999999,17.5
Nueva Zelanda,21.399999999999999,17.300000000000001
Sudáfrica,21.399999999999999,14.199999999999999
Estados Unidos,21.300000000000001,18.600000000000001
Bulgaria,20.699999999999999,14.699999999999999
Estonia,20.600000000000001,16.800000000000001
México,20.600000000000001,16
Letonia,20.100000000000001,14
Rumanía,18.899999999999999,15
India,13.9,12.9
Indonesia,13.199999999999999,11.5
